L100, D100
-0.000956266, -0.000279709
-0.000483644, 0.000182027
-0.000213973, -9.86523e-05
-0.000935478, 0.000387585
-0.00107221, -0.000283048
-0.000412439, -8.0815e-05
-4.45191e-05, -8.09832e-05
-2.70352e-05, 8.99191e-05
-0.000155022, -2.77242e-05
-0.000305504, -0.000101683
-0.000119925, -0.000383711
-0.000245155, 2.09978e-05
-0.00022579, -1.56941e-06
-0.000781604, 0.000303298
-0.000147118, 4.45011e-05
-0.000931277, -0.000180643
-0.00033545, 3.41624e-05
-6.69642e-05, 0.00011516
-1.71078e-05, -0.000200428
-5.02206e-05, -1.66211e-05
-9.93521e-05, -6.89671e-05
-6.51517e-05, -0.000277435
-0.000983934, -0.00017852
1.9643e-05, -0.000366408
-0.000876613, 0.000446897
-0.000597884, 3.99376e-05
-7.4631e-05, 0.000150601
-0.000368668, -9.5049e-05
-0.000183672, 0.000100077
-6.70036e-05, 5.13351e-05
0.000521544, -0.000666454
-0.000957111, 0.000271615
5.42648e-05, -0.00241547
-1.04753e-05, -3.93457e-05
-0.000246913, 7.00549e-05
-0.000997647, -0.000158035
-0.000125171, -4.24521e-05
9.18773e-05, -0.000214512
-0.00028834, -0.000237137
-8.75286e-05, -2.56181e-05
-0.000281925, 0.000131211
-0.000963997, 0.000314713
-0.000358607, 0.000113792
-0.000360145, -0.000140294
-1.87092e-05, 0.000263507
-0.000387296, 7.84262e-05
-0.000398694, -0.000102866
4.81832e-06, 0.000260035
-0.000294371, -9.03302e-05
-0.000961401, -0.000369247
-0.00063005, -0.000141687
-0.000294937, -0.000178412
-0.000319025, -0.000150936
-3.98077e-05, 0.000232592
-0.000991131, 0.000272955
-0.000374621, -0.000111474
-0.000123007, -0.000376792
0.000314675, -0.000131788
-3.64891e-06, -3.44804e-05
0.000108316, -0.000336963
-7.27533e-05, 0.000188407
-0.000163623, -5.3587e-05
-0.000998391, 0.000199588
3.3107e-05, -0.00014498
-0.000204651, 0.000148629
-0.000534673, 4.35739e-05
-3.75671e-05, -2.28133e-05
-9.13483e-05, 0.000397631
4.82293e-06, -9.25022e-05
-6.49907e-05, 0.00010824
-0.000311225, 8.2081e-05
-0.000984699, -0.000790153
7.81951e-05, 0.000220754
-0.000479408, 0.000314962
-0.000192719, 0.000122207
-0.000944848, 0.000296963
-0.000762712, -0.000140367
3.6387e-05, 6.87803e-05
0.000202373, 0.00040193
-0.000283693, 2.99403e-05
-0.000227746, 5.9737e-05
-0.000937446, -0.00019619
2.31554e-05, -0.00016274
-7.99696e-05, 0.000151055
-5.27881e-05, -0.000150815
-0.000773624, -0.000217882
0.000256869, 0.000307026
-0.000947913, -0.000391839
-0.000357861, -7.70991e-05
-3.99289e-05, -0.000185108
-0.000246924, -7.17036e-06
-4.34521e-05, -1.96029e-05
-0.00103988, 7.10875e-05
-0.000575091, -4.73694e-05
-0.000263056, -0.000116182
8.79817e-05, -0.000105278
-0.000323765, 6.28947e-05
5.32271e-06, -0.000302016
-0.000230975, -8.46454e-06
9.56825e-06, 0.000111655
-0.000342612, -0.000142559
-0.000227739, -0.000313217
-0.000275016, 4.29309e-05
-0.000343251, 0.000108879
-0.000178127, -8.29298e-05
-0.000336762, 8.36407e-05
-6.44512e-05, 0.000110786
-0.000106959, 0.000262296
9.0023e-05, -9.71629e-06
-0.00012983, -2.31273e-06
-0.00011774, 0.000274175
-0.000132698, -6.41136e-05
-0.000962365, -0.000343545
-0.000774923, -0.000206357
